iteration,objective,objective_change,accepted_step,gradient_norm,projected_gradient_norm,directional_derivative,max_abs_gauge_error,omega_x1_gauge_error,theta_x1x1_gauge_error,fomega_rms,fzeta_rms,divergence_rms,curl_rms,mode,search_step_scale,fomega_loss,fzeta_loss,divergence_loss,curl_loss
21,1.0002326502753942,-5.250870234174698e-07,9.056739288611497e-11,2096935367.1795099,3.0189130962038324e-09,-10085.191024646738,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960279099060571e-08,4.709718741755849e-08,1.0095249629352111e-09,7.562028985158582e-06,rowband_pq,3.0189130962038324e-09,0.4999922377475189,0.49999345207368096,0.00010105543053446946,0.00014590502365974603
22,1.0002319421666739,-7.081087203264502e-07,9.056739288611497e-11,1359213526.5574195,3.0189130962038324e-09,-12260.448439241285,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960277783618586e-08,4.709718143229986e-08,1.0075951361638577e-09,7.561256974678437e-06,rowband_pq,3.0189130962038324e-09,0.49999207249936123,0.49999332499220983,0.0001006694409236049,0.00014587523417921094
23,1.0002314481947594,-4.939719144836374e-07,9.056739288611497e-11,102855401.55662827,3.0189130962038324e-09,-10031.430727576628,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960276461580527e-08,4.709717548605062e-08,1.0066501161592771e-09,7.560922756564106e-06,rowband_pq,3.0189130962038324e-09,0.49999190642262065,0.4999931987390181,0.00010048069443429287,0.0001458623386862109
24,1.0002308065296732,-6.416650861762463e-07,9.056739288611498e-11,146585223.2253484,3.018913096203833e-09,-12072.890180323206,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960275133158621e-08,4.7097169514516855e-08,1.0048128817979186e-09,7.561400746867292e-06,rowband_pq,3.018913096203833e-09,0.49999173954395776,0.4999930719489908,0.00010011425505476648,0.0001458807816698411
25,1.0002303212748076,-4.852548656231193e-07,9.056739288611495e-11,2051378737.7880743,3.018913096203832e-09,-9993.234647382258,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960273798774822e-08,4.70971635646617e-08,1.0039058984855684e-09,7.561124860293482e-06,rowband_pq,3.018913096203832e-09,0.49999157191637966,0.49999294561926877,9.993360255794483e-05,0.00014587013660124451
26,1.0002297139752674,-6.072995402117698e-07,9.056739288611495e-11,2031111591.6947682,3.018913096203832e-09,-11912.569935965923,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960272457737561e-08,4.7097157554148266e-08,1.002154922884973e-09,7.562085773058e-06,rowband_pq,3.018913096203832e-09,0.49999140345301046,0.49999281800164186,9.95853055670392e-05,0.00014590721504804553
27,1.000229334310168,-3.7966509935927206e-07,9.056739288611497e-11,3110657515.607716,3.0189130962038324e-09,-9943.431300486536,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960271110454934e-08,4.709715152969712e-08,1.0012862133362415e-09,7.56441951157623e-06,rowband_pq,3.0189130962038324e-09,0.4999912342051166,0.4999926900881001,9.94127310312132e-05,0.00014599728592013667
28,1.0002287200960582,-6.142141097953413e-07,9.056739288611497e-11,4648810329.381832,3.0189130962038324e-09,-11768.603841200988,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960269760884722e-08,4.709714565631824e-08,9.996159051533018e-10,7.564715445277539e-06,rowband_pq,3.0189130962038324e-09,0.4999910646698811,0.4999925653822007,9.908133447984235e-05,0.00014600870949659913
29,1.000228174421671,-5.456743872311876e-07,9.056739288611495e-11,4903090083.645797,3.018913096203832e-09,-9895.551075062443,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.96026840156195e-08,4.7097139637728707e-08,9.987851987547883e-10,7.5625775864856345e-06,rowband_pq,3.018913096203832e-09,0.49999089390954193,0.4999924375931472,9.891672465664384e-05,0.0001459261943252431
30,1.000227625747525,-5.486741458948785e-07,9.056739288611497e-11,3826313517.6656084,3.0189130962038324e-09,-11612.612099997736,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960267035839479e-08,4.709713350151122e-08,9.971902658862992e-10,7.564361162569044e-06,rowband_pq,3.0189130962038324e-09,0.49999072234529146,0.49999230730658795,9.86010620500045e-05,0.0001459950335956016
